Idx,Type,Region,Name,Longitude,Latitude,Connections,MAC,IP
LITEHIPE,PMU,LADW,LITEHIPE,33.880491,-118.175177,S-LADW,None,192.168.1.114
LITEHIPE3,PMU,LADW,LITEHIPE3,33.829491,-118.175177,S-LADW,None,192.168.1.115
PARDEE,PMU,LADW,PARDEE,34.439084,-118.582763,S-LADW,None,192.168.1.116
PARDEE3,PMU,LADW,PARDEE3,34.388084,-118.582763,S-LADW,None,192.168.1.117
VALLEY3,PMU,LADW,VALLEY3,34.2436,-118.391667,S-LADW,None,192.168.1.118
MIDWAY1,PMU,LADW,MIDWAY1,35.453217,-119.600452,S-LADW,None,192.168.1.119
MIDWAY2,PMU,LADW,MIDWAY2,35.258217,-119.600452,S-LADW,None,192.168.1.120
MIDWAY32,PMU,LADW,MIDWAY32,35.453217,-119.405452,S-LADW,None,192.168.1.121
MIDWAY4,PMU,LADW,MIDWAY4,35.258217,-119.405452,S-LADW,None,192.168.1.122
MIDWAY5,PMU,LADW,MIDWAY5,35.453217,-119.300452,S-LADW,None,192.168.1.123
MIDWAY6,PMU,LADW,MIDWAY6,35.258217,-119.300452,S-LADW,None,192.168.1.124
BURNS2,PMU,LADW,BURNS2,43.78573,-118.97463,S-LADW,None,192.168.1.125
CA230TO,PMU,PGE,CA230TO,52.481674,-121.61684,S-PGE,None,192.168.1.126
ROUND1,PMU,PGE,ROUND1,40.857689,-121.655718,S-PGE,None,192.168.1.127
ROUND2,PMU,PGE,ROUND2,40.654689,-121.655718,S-PGE,None,192.168.1.128
TABLE1,PMU,PGE,TABLE1,39.555494,-121.640407,S-PGE,None,192.168.1.129
TABLE2,PMU,PGE,TABLE2,39.501494,-121.440407,S-PGE,None,192.168.1.130
MALIN7,PMU,PGE,MALIN7,41.80686,-121.511546,S-PGE,None,192.168.1.131
MALIN8,PMU,PGE,MALIN8,41.60686,-121.511546,S-PGE,None,192.168.1.132
CORONADO,PMU,PNM,CORONADO,34.56004,-109.277313,S-PNM,None,192.168.1.133
CRAIG,PMU,PNM,CRAIG,40.5152473,-107.546455,S-PNM,None,192.168.1.134
CRAIG3,PMU,PNM,CRAIG3,40.3142473,-107.546455,S-PNM,None,192.168.1.135
FOURCORN,PMU,PNM,FOURCORN,36.527401,-108.325669,S-PNM,None,192.168.1.136
FOURCORN3,PMU,PNM,FOURCORN3,36.857401,-108.654569,S-PNM,None,192.168.1.137
FCNGN4CC,PMU,PNM,FCNGN4CC,36.687401,-108.486669,S-PNM,None,192.168.1.138
FOURCORN4,PMU,PNM,FOURCORN4,36.856401,-108.325669,S-PNM,None,192.168.1.139
HAYDEN,PMU,PNM,HAYDEN,40.487041,-107.185575,S-PNM,None,192.168.1.140
SANJUAN,PMU,PNM,SANJUAN,37.105571,-108.243555,S-PNM,None,192.168.1.141
SJUANG4,PMU,PNM,SJUANG4,37.104154,-108.441191,S-PNM,None,192.168.1.142
FOURCOR1,PMU,PNM,FOURCOR1,36.525401,-108.655669,S-PNM,None,192.168.1.143
FOURCOR2,PMU,PNM,FOURCOR2,36.857401,-108.323669,S-PNM,None,192.168.1.144
BRIDGER2,PMU,PNM,BRIDGER2,41.734596,-108.790427,S-PNM,None,192.168.1.145
MONTAG1,PMU,PNM,MONTAG1,46.064672,-106.60906,S-PNM,None,192.168.1.146
MONTANA,PMU,PNM,MONTANA,46.565672,-106.80906,S-PNM,None,192.168.1.147
COLSTRP,PMU,PNM,COLSTRP,45.891161,-106.612578,S-PNM,None,192.168.1.148
PINTOPS,PMU,PNM,PINTOPS,38.020747,-109.314458,S-PNM,None,192.168.1.149
PINTO,PMU,PNM,PINTO,37.829747,-109.314458,S-PNM,None,192.168.1.150
HAYNES,PMU,SCE,HAYNES,33.714453,-118.146319,S-SCE,None,192.168.1.151
HAYNES3G,PMU,SCE,HAYNES3G,33.762453,-118.096319,S-SCE,None,192.168.1.152
STAB,PMU,SCE,STAB,34.11865,-118.095428,S-SCE,None,192.168.1.153
STAB1,PMU,SCE,STAB1,34.15865,-118.095428,S-SCE,None,192.168.1.154
STAB2,PMU,SCE,STAB2,33.91865,-118.095428,S-SCE,None,192.168.1.155
STABLD,PMU,SCE,STABLD,33.71865,-118.095428,S-SCE,None,192.168.1.156
STAF,PMU,SCE,STAF,34.01865,-117.995428,S-SCE,None,192.168.1.157
STAG,PMU,SCE,STAG,34.01865,-117.795428,S-SCE,None,192.168.1.158
STAJ,PMU,SCE,STAJ,34.01865,-117.995428,S-SCE,None,192.168.1.159
MESACAL,PMU,SCE,MESACAL,34.037454,-118.109265,S-SCE,None,192.168.1.160
MIRALOMA4,PMU,SCE,MIRALOMA4,34.007821,-117.7105,S-SCE,None,192.168.1.161
SERRANO,PMU,SCE,SERRANO,33.82931,-117.78936,S-SCE,None,192.168.1.162
VINCENT,PMU,SCE,VINCENT,34.636247,-118.118227,S-SCE,None,192.168.1.163
VINCENT3,PMU,SCE,VINCENT3,34.434247,-118.118227,S-SCE,None,192.168.1.164
ADELANTO,PMU,SDGE,ADELANTO,34.551015,-117.568105,S-SDGE,None,192.168.1.165
ADELAN1,PMU,SDGE,ADELAN1,34.652015,-117.538105,S-SDGE,None,192.168.1.166
VICTORVL,PMU,SDGE,VICTORVL,34.566258,-117.166428,S-SDGE,None,192.168.1.167
VICTORVL3,PMU,SDGE,VICTORVL3,34.565258,-117.368428,S-SDGE,None,192.168.1.168
LUGO,PMU,SDGE,LUGO,34.366727,-117.369299,S-SDGE,None,192.168.1.169
MIRALOMA,PMU,SDGE,MIRALOMA,34.007821,-117.5645,S-SDGE,None,192.168.1.170
MIRALOMA3,PMU,SDGE,MIRALOMA3,34.007821,-117.5125,S-SDGE,None,192.168.1.171
CHOLLA,PMU,SRP,CHOLLA,34.938385,-110.303798,S-SRP,None,192.168.1.172
CORONADO3,PMU,SRP,CORONADO3,34.36004,-109.777313,S-SRP,None,192.168.1.173
NAVAJO,PMU,SRP,NAVAJO,36.903901,-111.390408,S-SRP,None,192.168.1.174
NAVAJO2,PMU,SRP,NAVAJO2,36.702901,-111.390408,S-SRP,None,192.168.1.175
MOENKOPI,PMU,SRP,MOENKOPI,35.832561,-111.448566,S-SRP,None,192.168.1.176
NAVAJO1,PMU,SRP,NAVAJO1,37.103549,-111.590816,S-SRP,None,192.168.1.177
NAVAJO22,PMU,SRP,NAVAJO22,36.703539,-111.190816,S-SRP,None,192.168.1.178
NAVAJO3,PMU,SRP,NAVAJO3,37.103559,-111.190816,S-SRP,None,192.168.1.179
NAVAJO4,PMU,SRP,NAVAJO4,36.703549,-111.590806,S-SRP,None,192.168.1.180
MOENKOPI3,PMU,SRP,MOENKOPI3,36.033561,-111.648566,S-SRP,None,192.168.1.181
MOENKOP2,PMU,SRP,MOENKOP2,35.631561,-111.248566,S-SRP,None,192.168.1.182
MOENKOP3,PMU,SRP,MOENKOP3,36.032561,-111.249566,S-SRP,None,192.168.1.183
MOENKOP4,PMU,SRP,MOENKOP4,35.732561,-111.647566,S-SRP,None,192.168.1.184
CAMPWIL,PMU,SRP,CAMPWIL,40.469158,-111.947715,S-SRP,None,192.168.1.185
BENLOMND,PMU,SRP,BENLOMND,41.438578,-112.048172,S-SRP,None,192.168.1.186
BENLOMND3,PMU,SRP,BENLOMND3,41.239578,-112.048172,S-SRP,None,192.168.1.187
EMERY,PMU,SRP,EMERY,39.177375,-110.778737,S-SRP,None,192.168.1.188
EMERY3,PMU,SRP,EMERY3,39.177375,-111.079737,S-SRP,None,192.168.1.189
MONA,PMU,SRP,MONA,39.809556,-111.908691,S-SRP,None,192.168.1.190
NAUGHTON,PMU,SRP,NAUGHTON,41.7585,-110.6005,S-SRP,None,192.168.1.191
NAUGHT,PMU,SRP,NAUGHT,41.5555,-110.4005,S-SRP,None,192.168.1.192
SPANFRK,PMU,SRP,SPANFRK,40.080517,-111.506269,S-SRP,None,192.168.1.193
SIGURD,PMU,SRP,SIGURD,38.843763,-111.994022,S-SRP,None,192.168.1.194
TERMINAL,PMU,SRP,TERMINAL,40.757317,-112.007263,S-SRP,None,192.168.1.195
BIGEDDY,PMU,VRCC,BIGEDDY,45.514571,-122.681289,S-VRCC,None,192.168.1.196
DALLES21,PMU,VRCC,DALLES21,44.89,-123.29,S-VRCC,None,192.168.1.197
